CODE,PRODUCT_NAME,ATC_CODE,DOSAGE_FORM,PACK_SIZE,PACK_PRICE
87399003,NOV VIT D3 (NAMIBIA),A11CC05,CAPSULE,60,
87400001,NOV VIT D3 (NAMIBIA),A11CC05,CAPSULE,4,
87401001,DHEA (NAMIBIA),G03XX01,CAPSULE,30,
87402001,DHEA (NAMIBIA),G03XX01,CAPSULE,30,
87403001,DHEA (NAMIBIA),G03XX01,CAPSULE,30,
87404001,DHEA (NAMIBIA),G03XX01,CAPSULE,30,
87405001,DHEA (NAMIBIA),G03XX01,CAPSULE,30,
87406001,TEST-M (NAMIBIA),G03BA03,CREAM,50,
87407001,TEST-M (NAMIBIA),G03BA03,CREAM,50,
87408001,TEST-M (NAMIBIA),G03BA03,CREAM,50,
87409001,TEST-F (NAMIBIA),G03BA03,CREAM,50,
87410001,TEST-F (NAMIBIA),G03BA03,CREAM,50,
87411001,TEST-F (NAMIBIA),G03BA03,CREAM,50,
87412001,PROGESTERONE(NAMIBIA),G03DA04,CREAM,50,
87413001,DEXAMETHASONE (NAMIBIA),H02AB02,CAPSULE,30,
87414001,CO-Q10 (NAMIBIA),C01EB09,CAPSULE,30,203.17
87415001,CO-Q10 (NAMIBIA),C01EB09,CAPSULE,30,660
87416001,LEVETIRACETAM (NAMIBIA),N03AX14,SYRUP,100,
87420001,FUROSEMIDE (NAMIBIA),C03CA01,SUSPENSION,100,232.53
87421001,FUROSEMIDE (NAMIBIA),C03CA01,SUSPENSION,100,484.27
87437001,DIAZOXIDE (NAMIBIA),V03AH01,SUSPENSION,100,828
87440001,NALTREXONE (NAMIBIA),N07BB04,CAPSULE,1,241.73
87441001,FLUOXETINE (NAMIBIA),N06AB03,SUSPENSION,100,163.53
87441002,FLUOXETINE (NAMIBIA),N06AB03,SUSPENSION,150,244.84
87448001,CLOBAZAM (NAMIBIA),N05BA09,SUSPENSION,50,
87449002,NOV DEXAMETHASONE (NAMIBIA),H02AB02,CAPSULE,1,625
87450001,NOV EPLERENONE (NAMIBIA),C03DA04,CAPSULE,30,
87451001,NOV EPLERENONE (NAMIBIA),C03DA04,CAPSULE,30,
87452001,NOV ZOLPIDEM (NAMIBIA),N05CF02,CAPSULE,30,
87453001,NOV HEMOCREAM (NAMIBIA),N01BB52,CREAM,30,
87453002,NOV HEMOCREAM (NAMIBIA),N01BB52,CREAM,50,
87454001,NOV E3 (NAMIBIA),G03CA04,VAGINAL CREAM,30,
87456001,NOV PREDNISOLONE (NAMIBIA),H02AB06,CAPSULE,30,
87457001,TRIFEM 1 (NAMIBIA),G03CA53,CREAM,50,
87458001,TRIFEM 2 DS (NAMIBIA),G03CA53,CREAM,50,
87459001,TRIFEM 3 (NAMIBIA),G03CA53,CREAM,50,
87460001,TRIFEM 4 TD (NAMIBIA),G03CA53,CREAM,50,
87460002,TRIFEM 4 TD (NAMIBIA),G03CA53,CREAM,30,
87461001,TRIFEM 5 (NAMIBIA),G03CA53,CREAM,50,
87462001,TRIFEM 6 (NAMIBIA),G03CA53,CREAM,50,462.9
87463001,BIFEM 1 (NAMIBIA),G03CA53,CREAM,50,
87464001,BIFEM 2 DS (NAMIBIA),G03CA53,CREAM,50,
87465001,BIFEM 3 (NAMIBIA),G03CA53,CREAM,50,
87466001,BIFEM 4 (NAMIBIA),G03CA53,CREAM,50,
87466002,NOV BIFEM 4 (NAMIBIA),G03BA00,CREAM,30,296
87467001,BIFEM 5 (NAMIBIA),G03CA53,CREAM,50,
87468001,BIFEM 6 DS (NAMIBIA),G03CA53,CREAM,50,
87469001,BIFEM 7 (NAMIBIA),G03CA53,CREAM,50,
87470001,BIFEM 8 DS (NAMIBIA),G03CA53,CREAM,50,
87471001,BIFEM 9 (NAMIBIA),G03CA53,CREAM,50,
87472001,BIFEM 10 (NAMIBIA),G03CA53,CREAM,50,
87473001,BIMALE (NAMIBIA),G03BA00,CREAM,50,
87474001,TRIMALE (NAMIBIA),G03BA00,CREAM,50,
87475001,NOV MORPHINE (NAMIBIA),N02AA01,CAPSULE,30,
87476001,NOV MORPHINE (NAMIBIA),N02AA01,CAPSULE,30,
87477001,NOV MORPHINE (NAMIBIA),N02AA01,CAPSULE,30,
87478001,NOV MORPHINE (NAMIBIA),N02AA01,SYRUP,200,
87478002,NOV MIST MORPHINE (NAMIBIA),N02AA01,SYRUP,500,
87479001,NOV MORPHINE TDL (NAMIBIA),N02AA01,CREAM,30,
87479002,NOV MORPHINE TDL (NAMIBIA),N02AA01,CREAM,50,
87480001,NOV FORMULA C (NAMIBIA),R02AD02,MOUTH WASH,200,
87481001,DAFLON,C05CA53,TABLET,30,
87482001,NOV VIT D3 (NAMIBIA),A11CC05,CAPSULE,30,268.18
87482002,NOV VIT D3 (NAMIBIA),A11CC05,CAPSULE,100,
87483001,TRIFEM 7 TD (NAMIBIA),G03CA53,CREAM,50,
87484001,TRIFEM 8 TD (NAMIBIA),G03CA53,CREAM,50,
87485001,NOV TRIFEM 9 TD (NAMIBIA),G03CA53,CREAM,50,
87486001,BIFEM11 TD (NAMIBIA),G03BA00,CREAM,50,
87486002,BIFEM11 TD (NAMIBIA),G03BA00,CREAM,30,
87487001,E+T (NAMIBIA),G03CA53,VAGINAL CREAM,30,
87488001,LDN (NAMIBIA),N07BB04,CAPSULE,30,
87489001,BIE (NAMIBIA),G03CA53,CREAM,50,
87489002,NOV BIEST 80/20 DS (NAMIBIA),G03CA53,CREAM,20,175.7
87490001,NOV TRIFEM 10 TD (NAMIBIA),G03CA53,CREAM,50,
87491001,VIT D3,A11CC05,SYRUP,50,
87492001,NOV GRANISETRON (NAMIBIA),A04AA02,TABLET,1,
87493001,EPIDEX (NAMIBIA),D07XB05,CREAM,200,
87494001,NOV OMEPRAZOLE (NAMIBIA),A02BC01,SYRUP,100,
87495001,METALCAPTASE (NAMIBIA),M01CC01,TABLET,100,
87496001,NOV APREPITANT (NAMIBIA),A04AD12,CAPSULE,30,
87497001,NOV APREPITANT (NAMIBIA),A04AD12,CAPSULE,30,
87498001,NAPROXEN SOD (NAMIBIA),M01AE02,SYRUP,50,
87499001,BLT NUMBING (NAMIBIA),R02AD01,CREAM,20,
87500001,CETO-U-DEX (NAMIBIA),D02AX00,CREAM,400,
87501001,CETO-DEX (NAMIBIA),D02AX00,CREAM,400,
87503001,NOV CLOBEN (NAMIBIA),G01AF02,VAGINAL CREAM,30,
87504001,NOV LDN (NAMIBIA),N07BB04,CAPSULE,30,
87505001,NOV LDN (NAMIBIA),N07BB04,CAPSULE,30,
87506001,NOV LDN (NAMIBIA),N07BB04,CAPSULE,30,
87507001,NOV DEX (NAMIBIA),D07XB05,SYRUP,50,
87508001,NOV QUININE SULPH (NAMIBIA),P01BC01,CAPSULE,30,
87509001,NOV MORPHINE (NAMIBIA),N02AA01,SYRUP,1000,
87510001,NOV HYDROXYUREA (NAMIBIA),L01XX05,SYRUP,100,
87511001,NOV DHEA (NAMIBIA),G03XX01,CAPSULE,30,
87512001,NOV TESTOSTERONE (NAMIBIA),G03BA03,CREAM,50,
87513001,NOV D-NORPSEUDOEPHEDRINE (NAM),A08AA07,CAPSULE,120,
87514001,NOV TRETINOIN (NAMIBIA),D10BA01,CAPSULE,100,
87517001,NOV BUPROPOIN (NAMIBIA),N06AX12,SLOW RELEASE CAP,30,
87518001,NOV BUPROPOIN (NAMIBIA),N06AX12,SLOW RELEASE CAP,30,
87519001,BUPROPION XR (NAMIBIA),N06AX12,CAPSULE,30,
87520001,BUPROPION SR (NAMIBIA),N06AX12,CAPSULE,30,
87520002,BUPROPION SR (NAMIBIA),N06AX12,CAPSULE,60,
87521001,PROGESTERONE (NAMIBIA),G03DA04,CAPSULE,30,
87522001,PROGESTERONE (NAMIBIA),G03DA04,CAPSULE,30,
87523001,NOV MYERS COCKTAIL (NAMIBIA),A11AA03,INJECTION,1,451.9
87523002,NOV MYERS COCKTAIL (NAMIBIA),A11AA03,INJECTION,1,451.93
87524001,NOV IMIPRAMINE (NAMIBIA),N06AA02,CAPSULE,30,
87525001,NOV DEXAMETHASONE (NAMIBIA),D07XB05,SOLUTION BREAKABLE,200,
87526001,NOV RETINOIC (NAMIBIA),D10AD01,CREAM,30,
87526002,NOV RETINOIC (NAMIBIA),D10AD01,CREAM,100,
87527001,NOV PHENOBARB (NAMIBIA),N03AA02,CAPSULE,30,
87527002,NOV PHENOBARB (NAMIBIA),N03AA02,CAPSULE,100,87.37
87528001,NOV PHENOBARB (NAMIBIA),N03AA02,CAPSULE,30,
87529001,NOV CLOBAZAM (NAMIBIA),N05BA09,CAPSULE,30,
87530001,NOV CLOBAZAM (NAMIBIA),N05BA09,CAPSULE,30,
87531001,NOV PROGESTERONE (NAMIBIA),G03DA04,CAPSULE,30,
87532001,OCREVUS (NAMIBIA),L04AG08,VIAL,1,
87533001,NOV PROGESTERONE (NAMIBIA),G03DA04,CAPSULE,30,
87534001,NOV PROGESTERONE TD (NAMIBIA),G03DA04,CREAM,50,
87535001,NOV DEXCHLORPHENIRAMINE (NAM),R06AB02,CAPSULE,30,
87536001,NOV IMIPRAMINE (NAMIBIA),N06AA02,CAPSULE,30,
87537001,NOV 7 KETO DHEA (NAMIBIA),G03XX01,CAPSULE,30,
87548001,CARVEDILOL (NAMIBIA),C07AG02,SUSPENSION,150,114.77
87568001,PHENOXYBENZAMINE (NAMIBIA),C04AX02,CAPSULE,30,
87569001,NOV CLOBAZAM (NAMIBIA),N05BA09,SUSPENSION,100,
87569002,NOV CLOBAZAM (NAMIBIA),N05BA09,SUSPENSION,50,
87570001,NOV COQ10 (NAMIBIA),C01EB09,CAPSULE,30,200
87571001,NOV DEXAMETHASONE (NAMIBIA),D07XB05,CAPSULE,30,
87572001,NOV E2 VAGINAL (NAMIBIA),G03CA03,VAGINAL CREAM,30,
87573001,NOV HALOPERIDOL (NAMIBIA),N05AD01,CAPSULE,30,
87574001,NOV HALOPERIDOL (NAMIBIA),N05AD01,CAPSULE,30,
87575001,NOV HALOPERIDOL (NAMIBIA),N05AD01,CAPSULE,30,
87576001,NOV HALOPERIDOL (NAMIBIA),N05AD01,CAPSULE,30,
87577001,NOV HYDROCORTISONE (NAMIBIA),H02AB09,CAPSULE,30,
87578001,NOV HYDROCORTISONE (NAMIBIA),H02AB09,CAPSULE,30,
87579001,NOV HQ (NAMIBIA),D11AX11,CREAM,30,
87580001,NOV IMIPRAMINE (NAMIBIA),N06AA02,CAPSULE,30,
87581001,DISC NOV MELATONIN (NAMI,N05CH01,CAPSULE,30,120.78
87582001,DISC NOV MELATONIN (NAMI,N05CH01,DROPS,100,123.39
87583001,DISC NOV MELATONIN (NAMI,N05CH01,LIQUID,100,126.34
87584001,NOV OMEPRAZOLE (NAMIBIA),A02BC01,LIQUID,20,
87585001,NOV SKIN HORMONE (NAMIBIA),G03CA53,CREAM,30,
87586001,NOV TEST (NAMIBIA),G03BA03,CREAM,50,
87587001,NOV TRETINOIN (NAMIBIA),L01XF01,CAPSULE,14,
87588001,NOV D3 (NAMIBIA),A11CC05,CAPSULE,30,35.77
87600001,NALTREXONE (NAMIBIA),N07BB04,CAPSULE,60,439.6
87613001,HALOPERIDOL (NAMIBIA),N05AD01,SUSPENSION,150,174.8
143041001,LUBRICATING GEL,V07AY00,SACHET,1,26.69
148941001,HERPATCH SERUM,D11AX00,OINTMENT,5,
152122001,DISC OPTHALMIC TRIAMCINOLONE A,S01BA05,OPHTHALMIC PREP,1,1371.73
162633001,LUBRICATING GEL,V07AY00,SACHET,100,
162634001,LUBRICATING GEL,V07AY00,JEL TOPICAL EXTERNAL,100,
163079001,CEREX ER  ENT KIT,S02DC00,EAR DROPS,1,148.44
191090001,INJECTION MONOVISC,M09AX01,INJECTION,1,
196712001,OPTIVE FUSION,S01XA20,OPHTHALMIC DROPS,1,144.45
197551003,LUBRICATING JELLY OPTILUBE,V07AY00,SACHET,1,3.62
197552003,LUBRICATING JELLY OPTILUBE,V07AY00,SACHET,1,5.6
197553004,LUBRICATING JELLY OPTILUBE,V07AY00,JEL TOPICAL EXTERNAL,42,54.45
197554004,LUBRICATING JELLY OPTILUBE,V07AY00,JEL TOPICAL EXTERNAL,82,91.25
197555004,LUBRICATING JELLY OPTILUBE,V07AY00,JEL TOPICAL EXTERNAL,113,156.72
199066001,DISC OPTILUBE LUBRICATING JEL,V07AY00,SACHET,144,120
200671001,STENT RESOLUTE ONYX ZOTAROL,Z54AC08,DRUG ELUTING STENT,1,12626.09
201677001,LUBRICATING GEL,V07AY00,SACHET,1,6.14
202172001,OPTILUBE REACH TUBE LUB,V07AY00,JEL TOPICAL EXTERNAL,1,32.6
203375001,OPHTHALMIC RS BLU 0.5 TRYPAN B,S01KX02,SOLUTION BREAKABLE,0.7,3599.71
205284001,DISC STENT ULTIMASTER SI,Z01AB10,DRUG ELUTING STENT,1,19426.33
205699002,UC GEL DEBRIDEMENT,Z01AH08,JEL TOPICAL EXTERNAL,20,122.95
210815001,DISC RIBOFLAVIN TE RIBOCROSS,S01XA26,SOLUTION UNBREAKABLE,1,
210816001,DISC RIBOFLAVIN M SOL RIBOCROS,S01XA26,SOLUTION UNBREAKABLE,1,
210817001,DISC RIBOFLAVIN H  RIBOCROSS,S01XA26,SOLUTION UNBREAKABLE,1,
210988001,PREVALIN ADULT ALLERGY,R01AX10,NASAL SPRAY,1,160.53
211086001,VISIPROTECT OPHTHALMIC,S01KA02,OPHTHALMIC DROPS,1,
211518001,CORNEA PROTECT,S01KA02,OPHTHALMIC DROPS,10,1368.88
213738001,OPHTHALMIC SLN TRYPAN BLUE,S01KX02,SOLUTION UNBREAKABLE,5,235.8
213940001,PHYSIOMER EUCALYPTUS,R01AX10,NASAL SPRAY,1,170.94
221729001,XAILIN HA,S01XA20,OPHTHALMIC DROPS,1,172.49
221732001,XAILIN HYDRATE,S01XA20,OPHTHALMIC DROPS,1,102.06
224508001,VISCOLON HPMC 2% 2ML PREFILLED,S01KA02,PRE-FILLED SYRINGE,1,
225460001,JUVEDERM VOLBELLA & LIDOCAINE,D11AX00,IMPLANT,1,3652.83
225463001,JUVEDERM VOLIFT & LIDOCAINE,D11AX00,IMPLANT,1,4250.56
225465001,JUVEDERM VOLIFT RETOUCH,D11AX00,IMPLANT,0.55,2210.56
225466001,JUVEDERM VOLUMA & LIDOCAINE,D11AX00,IMPLANT,1,4250.56
225468001,JUVEDERM ULTRA 2,D11AX00,IMPLANT,0.55,2214.69
225469001,JUVEDERM ULTRA 3,D11AX00,IMPLANT,1,3322.03
225471001,JUVEDERM ULTRA 4,D11AX00,IMPLANT,1,3322.03
225472001,JUVEDERM ULTRA SMILE,D11AX00,IMPLANT,0.55,1921.57
225473001,JUVEDERM HYDRATE,D11AX00,IMPLANT,1,1087.68
226595001,METHYLVISC,S01KA02,INJECTION,1,722.35
226596001,OPHTEISBIO 3.0%,S01KA01,INJECTION,1,
226598001,OPHTEISBIO 1.6%,S01KA01,INJECTION,1,
226770001,OPHTHALMIC SOLUTION BLUE RHEXI,S01KX02,SOLUTION UNBREAKABLE,1,
226770002,OPHTHALMIC SOLUTION BLUE RHEXI,S01KX02,SOLUTION UNBREAKABLE,5,
227569001,UCSOL DEBRIDEMENT,Z01AH08,SOLUTION UNBREAKABLE,1,554.06
230083001,OPHTHALMIC VIEW ILM TRYPAN BLU,S01KX02,SOLUTION BREAKABLE,0.7,8119.83
230084001,OPHTHALMIC TWIN TRYPAN BLUE,S01KX02,SYRINGE,0.7,1454.8
230205001,MEDERMA,D11AX00,JEL TOPICAL EXTERNAL,20,169.17
230206001,LUBRICANT HOSPI LUBE,V07AY00,SACHET,100,97.75
231826001,DIOCLEAR WITH DIOSMECTITE,A07BC05,SACHET,10,
234780001,HILURON SODIUM HYALURONATE 1.4,S01KA01,INJECTION,1,
234815001,OPTIVE PLUS,S01XA20,OPHTHALMIC DROPS,30,170.28
234818001,OPTIVE FUSION,S01XA20,OPHTHALMIC DROPS,30,168.66
237184001,ULCELOOCIN ORAL ULCER,A01AD11,PATCH,6,
240630001,HILURON SODIUM HYALURONATE 3%,S01KA01,INJECTION,1,
242222001,ARTELAC MOISTURE,S01XA20,OPHTHALMIC DROPS,1,65.67
242223001,ARTELAC MOISTURE SINGLE DOSE,S01XA20,OPHTHALMIC DROPS,30,84.55
242226001,ARTELAC INTENSE,S01XA20,OPHTHALMIC DROPS,1,125.84
242229001,ARTELAC ADVANCED,S01XA20,OPHTHALMIC DROPS,1,133.42
242230001,ARTELAC ADVANCED SINGLE DOSE,S01XA20,OPHTHALMIC DROPS,30,157.54
242231001,ARTELAC ADVANCED,S01XA20,OPHTHALMIC GEL,1,107.96
243786001,VERIFORTE MED IRRIGATION SLN,V07AB00,SOLUTION UNBREAKABLE,1,176.93
243791001,VERIFORTE MED IRRIGATION SLN,V07AB00,SOLUTION UNBREAKABLE,1,232.22
243794001,VERIFORTE MED IRRIGATION SLN,V07AB00,SOLUTION UNBREAKABLE,1,320.68
247687001,ARTELAC SPLASH,S01XA20,OPHTHALMIC DROPS,1,120.53
247688001,ARTELAC SPLASH,S01XA20,OPHTHALMIC DROPS,30,135.53
248790001,OPTIVE GEL,S01XA20,OPHTHALMIC DROPS,1,144.45
251316001,GONIOVISC HYPROMELLOSE,S01KA02,OPHTHALMIC DROPS,1,
252120001,ALLERGUARD ALLERGY,R01AX10,NASAL SPRAY,1,198.42
252235001,BALANCED SALT SOLUTION BOTTLE,S01XA20,SOLUTION UNBREAKABLE,10,2083.67
255619001,JUVEDERM VOLITE PREFILL,D11AX00,IMPLANT,1,3193.03
261256001,VISCOELASTIC PE HA LURON F,S01KA01,INJECTION,1,753.25
261257001,VISCOELASTIC PE HA LURON F,S01KA01,INJECTION,1,753.25
261258001,VISCOELASTIC PE HA LURON F,S01KA01,INJECTION,1,753.25
261259001,VISCOELASTIC PE HA LURON F,S01KA01,INJECTION,1,753.25
261260001,VISCOELASTIC PE HA LURON F,S01KA01,INJECTION,1,753.25
261263001,VISCOELASTIC PE HA LURON GLIDE,S01KA02,OPHTHALMIC DROPS,1,162.15
261291001,COHEVISC SODIUM HYALURONATE,S01XA20,OPHTHALMIC DROPS,1,787.49
261883001,VISCOELESTIC SOLUTION BIOVIS,S01KA01,INJECTION,1,573.6
263802001,NANO VISC HPMC PREFILL,S01KA02,INJECTION,1,113.51
264558001,BRUNEL ARTIFICIAL TEARS,S01XA20,OPHTHALMIC DROPS,1,88.69
265289001,S5 SODIUM CHLORIDE OPHTHALMIC,S01KX00,OPHTHALMIC DROPS,1,
266201001,DISC OP'COVER  HYPROMELLOSE E,S01KA02,OPHTHALMIC DROPS,1,106.86
266341001,VERIFORTE MED MOW,A01AD11,MOUTH WASH,250,176.93
266693001,LOC TEARS,S01XA20,OPHTHALMIC DROPS,1,126.78
266694001,IDEW SOOTHE,S01XA20,OPHTHALMIC DROPS,1,120.65
266695001,IDEW DS AQUAGEL,S01XA20,OPHTHALMIC DROPS,1,128.24
268047001,PROTECTALON COHESIVE 1.4 PERCE,S01KA01,INJECTION,1,769.24
268048001,PROTECTALON DISPERSIVE 3.0 PER,S01KA01,INJECTION,1,1673.51
268121001,OPHTHAFUTUR HPMC,S01KA02,INJECTION,1,295.08
268122001,OPHTHAFUTUR SIL 1000 PREFILL,Z50KA02,VIAL,10,1723.85
268123001,OPHTHAFUTUR SIL 2000 PREFILL,Z50KA02,INJECTION,1,
268140001,STERIMAR PAED NASAL CLEANER,R01AX10,NASAL SPRAY,1,165
268143001,AUROVISC OPHTHALMIC VISCOSURGI,S01KA02,INJECTION,1,483
268144001,AUROGEL OPHTHALMIC VISCOSURGIC,S01KA01,INJECTION,1,517.5
268145001,AUROGEL PLUS OPHTHALMIC VISCOS,S01KA01,INJECTION,1,575
268155001,OCU+ SODIUM HYALURONATE VISCOE,S01KA01,INJECTION,1,539.9
268175001,CONTASOL BASIC SALINE SOLUTION,Z50QA02,SOLUTION UNBREAKABLE,1,184
268176001,CONTASOL BASIC SALINE SOLUTION,Z50QA02,SOLUTION UNBREAKABLE,1,304.75
270345001,SYRINGE PREFILLED HYALURONIC A,M09AX01,CONSUMABLE,1,2277
271013001,HILURON SODIUM HYALURONATE PRE,S01KA01,INJECTION,1,
271014001,HILURON SODIUM HYALURONATE PRE,S01KA01,INJECTION,1,
271015001,HILURON SODIUM HYALURONATE PRE,S01KA01,INJECTION,1,
271396001,VIBEX XTRA RIBOFLAVIN,S01XA26,OPHTHALMIC DROPS,1,2721.51
271901001,GEL RT,V07AY00,JEL TOPICAL EXTERNAL,20,525.52
272635001,SILICONE OIL OXANE 1300,Z50KA02,INJECTION,1,1521.58
272637001,SILICONE OIL OXANE HD,Z50KA02,INTRA OCULAR INJ,1,2061.63
275676001,VERIFORTE MED IRRIGATION SLN,V07AB00,SOLUTION UNBREAKABLE,1,259.85
277430001,DISCOVISC,S01KA51,INJECTION,1,1020.36
278445001,VISCOELASTIC AMVISC PLUS,S01KA01,INJECTION,1,784.06
282720001,HYPROMELLOSE USP 2.5% STERILE,S01KA02,CONSUMABLE,2.5,172.5
282737001,CORNEA PROTECT VISCO SHIELD,S01KA02,OPHTHALMIC DROPS,1,
283603001,EYE DROP CORNEA PROTECT,S01KA02,OPHTHALMIC DROPS,1,2481.71
284722001,ARTIVISC,S01KA01,INJECTION,1,697.51
284723001,ARTIVISC,S01KA01,INJECTION,1,591.36
284990001,ARTIVISC,S01KA01,INJECTION,1,864.28
284991001,ARTIVISC,S01KA01,INJECTION,1,682.34
284992001,PROGEL HPMC,S01KA02,OPHTHALMIC DROPS,1,333.59
287353001,VISCOELASTIC PE HA LURON F,S01KA01,INJECTION,1,1416.8
287354001,VISCOELASTIC PE HA LURON F,S01KA01,INJECTION,1,1416.8
287452001,SODIUM HYALURONATE,S01KA01,INJECTION,1,1090.2
287628001,HYLUCOAT HA PLUS CHONDROITIN 1,S01KA51,INJECTION,1,1725
288914001,LIJIANG WOUND CARE SLN,D08AX00,SOLUTION UNBREAKABLE,1,
289020001,OPTILUBE ACTIVE  L-ANAESTHETIC,N01BB52,JEL TOPICAL EXTERNAL,10,122.41
289053001,CANNULA VISCOUS FLUID INJECTIO,Z50KB50,CONSUMABLE,1,5758.15
289055001,PROTECTALON COHESIVE 1.0 PERCE,S01KA01,INJECTION,1,769.24
290339001,UCSOL DEBRIDEMENT,Z01AH08,SOLUTION UNBREAKABLE,1,474.92
291418001,HYDROXYPROPYL METHYCELLULOSE,S01XA20,OPHTHALMIC DROPS,1,438.93
291419001,VISCOELASTIC NAHA,S01KA01,INJECTION,1,825.27
293089001,VISUXL,S01XA20,OPHTHALMIC DROPS,1,270.87
300238001,DISC VENCLEXTA,L01XX52,FILM COATED TABLET,14,1061.65
300335001,CO-AFARIS PAED,J04AM05,TABLET,84,380.45
300336001,YULAREB,L01EF03,TABLET,14,3966.66
390829001,AVP DEXAMET (NAMIBIA),H02AB02,CAPSULE,10,
413138001,DRESSING FINGER,V07AA00,CONSUMABLE,10,4.67
415334001,DISC ARCIOLANE 1300,S01KX00,VIAL,1,1902.88
415346001,DISC ARCALINE P/DECALINE,S01KX00,OPHTHALMIC GAS,5,1783.96
500002001,TROCAR K-WIRE DOUBLE END,Z01AB03,IMPLANT,1,42.92
527056002,DALCEPT CU 375 CUPROCEPT SA,G02BA02,INTRA UTERINE DEVICE,1,52.63
530671003,NOVA-T 380,G02BA02,INTRA UTERINE DEVICE,1,613.88
531470004,PROBE COVER WELCH ALLYN,Z01AL02,CONSUMABLE,1,0.9
536975001,EFTIAR PERFLUCRO,Z50KA00,VIAL,5,4254.03
567595001,STOMA SKIN PROTECTION SPRAY,D02AX00,SPRAY,1,203.93
601660006,SILICONE OIL PURIFIED,Z50KA02,VIAL,1,2440.15
604562001,SYRINGE SILICONE OIL,Z50KA02,INJECTION,1,3177.04
648347003,BI BAG BICARB POWDER,B05CB04,POWDER,650,1308.69
